region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
US,us,United States,,probably yes,yes,extremely comfortable,unimportant,no,no,,zee,very unimportant,definitely yes,definitely yes,probably not,no,jamaican english,always,no,definitely not,definitely not,definitely not,strongly disagree,,,strongly agree,probably not,29,canada,male,elementary school,i am not currently studying,12,no,,i dont use social media
BC,bc,British Columbia,strongly agree,neutral,no,,important,that depends ,yes,,zed,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,24,canada,female,high school,fourth year+,1,no,,12 hours
ON,on,Ontario,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,both,very important,definitely yes,definitely yes,probably not,yes ,british english,always,yes,yes,definitely yes,definitely yes,strongly agree,agree,agree,agree,definitely yes,49,canada,female,undergraduate degree,i am not currently studying,2,yes ,7,24 hours
US,us,British Columbia,strongly agree,probably yes,yes,extremely comfortable,,no,not sure,,zee,unimportant,probably not,probably not,probably not,,british english,sometimes,yes,neither yes or no,probably yes,probably yes,disagree,disagree,agree,,,24,canada,other,high school,fourth year+,1,no,,24 hours
BC,bc,British Columbia,strongly agree,probably yes,yes,extremely comfortable,important,yes,not sure,,zed,unimportant,might or might not,definitely yes,,,american english,often,yes,neither yes or no,definitely not,definitely yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,24,canada,female,high school,fourth year+,0,yes ,8,46 hours
AB,ab,Ontario,agree,definitely yes,no,,important,yes,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,29,canada,other,graduate degree,second yeari am in a graduate program,0,no,,12 hours
other,,British Columbia,agree,neutral,no,,unimportant,no,yes,yes but i cant describe it well,zed,unimportant,probably not,probably not,probably yes,yes ,american english,often,,neither yes or no,definitely yes,probably yes,agree,strongly disagree,,disagree,probably yes,24,canada,male,graduate degree,i am not currently studying,0,no,,24 hours
ON,on,Ontario,strongly agree,definitely yes,no,,important,that depends ,yes,yes i do know it is ,zed,very important,might or might not,definitely yes,definitely not,yes ,other ,rarely,yes,definitely yes,might or might not,probably not,disagree,disagree,agree,disagree,probably yes,59,canada,female,postgraduate degree,i am not currently studying,0,no,,12 hours
BC,bc,British Columbia,strongly disagreee,definitely yes,yes,neither comfortable nor uncomfortable,extremely unimportant,that depends ,no,,zee,very unimportant,definitely not,probably not,definitely not,yes ,british english,sometimes,no,no,probably yes,probably not,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,,24,canada,male,high school,fourth year+,0,yes ,2,24 hours
other,austria,British Columbia,strongly agree,probably yes,yes,moderately uncomfortable,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,definitely not,yes ,canadian english,often,yes,definitely yes,probably yes,probably yes,agree,agree,strongly agree,agree,definitely yes,39,canada,female,postgraduate degree,i am not currently studying,6,yes ,7,less than 30 minutes
