region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
MB,mb,Manitoba,agree,probably yes,yes,neither comfortable nor uncomfortable,,no,not sure,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,,definitely yes,definitely yes,disagree,disagree,agree,neither disagree nor agree,probably yes,29,canada,female,graduate degree,i am not currently studying,2,yes ,3,12 hours
AB,ab,Alberta,strongly agree,probably yes,no,,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,,probably not,no,british english,sometimes,yes,yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,probably yes,39,canada,male,graduate degree,i am not currently studying,0,no,,24 hours
other,,Alberta,strongly agree,probably yes,no,,extremely important,that depends ,no,,zed,very important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,probably yes,64,canada,female,postgraduate degree,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,probably yes,yes,extremely comfortable,extremely important,yes,no,,zed,important,definitely yes,probably not,definitely not,yes ,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,disagree,probably not,29,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
ON,on,Alberta,somewhat agree,probably not,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,probably yes,,british english,rarely,yes,yes,definitely yes,probably yes,agree,agree,neither disagree nor agree,disagree,definitely yes,29,canada,male,undergraduate degree,i am not currently studying,0,yes ,5,i dont use social media
ON,on,Alberta,strongly disagreee,definitely yes,no,,extremely important,no,yes,yes but i cant describe it well,zed,important,definitely yes,definitely yes,definitely not,no,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,probably yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
MB,mb,Manitoba,strongly agree,probably not,no,,extremely important,yes,no,,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,,strongly agree,probably yes,64,canada,female,undergraduate degree,i am not currently studying,0,yes ,15,24 hours
BC,bc,British Columbia,agree,probably yes,no,,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably not,definitely not,yes ,british english,often,,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,definitely yes,59,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
BC,bc,Alberta,strongly agree,neutral,no,,important,no,yes,yes i do know it is ,both,neither unimportant nor important,definitely yes,definitely not,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,agree,agree,strongly agree,strongly agree,definitely yes,49,canada,other,undergraduate degree,i am in a graduate program,0,no,,30 minutes to 1 hour
AB,ab,Alberta,agree,neutral,no,,extremely important,yes,no,,zed,very important,definitely yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,strongly disagree,agree,disagree,definitely yes,34,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,agree,neutral,no,,unimportant,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,definitely not,probably yes,definitely not,yes ,no particular variety,sometimes,yes,neither yes or no,probably yes,definitely yes,disagree,disagree,strongly disagree,strongly disagree,probably yes,49,canada,male,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes
MB,mb,Alberta,strongly agree,definitely yes,yes,extremely comfortable,important,no,not sure,,zed,very important,definitely yes,probably yes,probably not,no,no particular variety,sometimes,yes,yes,definitely yes,might or might not,strongly agree,strongly agree,neither disagree nor agree,neither disagree nor agree,probably yes,34,canada,male,graduate degree,i am in a graduate program,0,yes ,5,30 minutes to 1 hour
other,,Prince Edward Island,strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably not,probably not,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,probably yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,24,canada,male,undergraduate degree,i am in a graduate program,1,no,,24 hours
AB,ab,Alberta,agree,probably yes,no,,extremely important,no,no,,zee,important,definitely yes,,,no,no particular variety,often,yes,definitely yes,probably yes,definitely yes,agree,agree,strongly agree,disagree,probably yes,24,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
ON,on,Ontario,agree,definitely yes,no,,extremely important,yes,yes,yes but i cant describe it well,zee,very important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,64,canada,female,undergraduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,definitely yes,no,,important,that depends ,no,,zee,important,definitely yes,probably yes,definitely not,yes ,no particular variety,rarely,yes,definitely yes,probably yes,definitely yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,54,canada,male,undergraduate degree,i am not currently studying,0,no,,i dont use social media
AB,ab,Alberta,somewhat disagree,definitely not,no,,unimportant,yes,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,probably not,definitely not,,no particular variety,sometimes,yes,no,definitely yes,definitely yes,strongly disagree,strongly disagree,agree,disagree,probably not,44,canada,male,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
AB,ab,Alberta,agree,definitely not,no,,important,yes,not sure,,both,neither unimportant nor important,probably yes,,probably not,no,no particular variety,rarely,yes,yes,definitely yes,probably yes,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,34,canada,female,other ,i am not currently studying,0,no,,46 hours
AB,ab,Alberta,agree,neutral,no,,,yes,no,,zee,unimportant,probably not,probably not,probably not,,no particular variety,sometimes,no,no,definitely yes,probably yes,strongly agree,neither disagree nor agree,agree,disagree,,29,canada,female,undergraduate degree,third year,0,no,,i dont use social media
other,,Alberta,somewhat agree,probably not,no,,unimportant,yes,no,,zee,important,might or might not,,definitely not,,other ,often,,no,probably not,probably yes,strongly agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,39,canada,male,other ,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,probably not,yes,extremely comfortable,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,,no,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,agree,neither disagree nor agree,strongly agree,agree,definitely yes,39,canada,male,other ,i am not currently studying,0,no,,i dont use social media
AB,ab,Alberta,agree,probably yes,no,,unimportant,yes,yes,yes but i cant describe it well,zee,very unimportant,definitely not,probably yes,definitely yes,yes ,no particular variety,often,,no,probably yes,definitely yes,disagree,disagree,agree,agree,probably yes,39,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,,yes,extremely comfortable,unimportant,no,no,,zee,neither unimportant nor important,might or might not,definitely not,definitely not,yes ,no particular variety,sometimes,yes,,definitely yes,definitely yes,disagree,disagree,strongly agree,agree,probably yes,49,canada,female,other ,i am not currently studying,1,yes ,4,24 hours
MB,mb,Alberta,strongly agree,definitely yes,yes,extremely comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,definitely yes,,definitely not,,no particular variety,often,yes,definitely yes,probably yes,probably yes,agree,agree,agree,,,39,canada,male,high school,second year,1,no,,i dont use social media
AB,ab,Alberta,strongly agree,neutral,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably not,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably not,strongly agree,strongly disagree,agree,agree,probably yes,69,canada,male,other ,i am not currently studying,0,no,,i dont use social media
AB,ab,Alberta,agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zee,very important,probably yes,definitely yes,probably not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,49,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
ON,on,Alberta,strongly agree,probably yes,no,,extremely important,yes,not sure,,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,69,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly disagreee,definitely not,no,,unimportant,no,yes,yes but i cant describe it well,both,unimportant,probably not,probably yes,probably not,yes ,no particular variety,rarely,yes,no,definitely yes,probably yes,strongly disagree,strongly disagree,agree,neither disagree nor agree,probably yes,39,canada,male,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,probably not,no,,important,that depends ,no,,zee,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,irish english,sometimes,no,no,definitely yes,definitely yes,strongly agree,strongly disagree,neither disagree nor agree,strongly disagree,probably yes,29,canada,male,elementary school,i am not currently studying,0,no,,12 hours
BC,bc,Alberta,agree,probably not,no,,unimportant,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,neither disagree nor agree,definitely yes,49,canada,male,other ,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably not,probably not,no,no particular variety,sometimes,yes,yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,34,canada,female,other ,i am not currently studying,0,yes ,6,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,probably not,no,,important,that depends ,no,,both,important,probably yes,probably not,probably not,yes ,no particular variety,,yes,neither yes or no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,39,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,probably not,no,,important,that depends ,no,,both,important,definitely yes,probably not,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,neither disagree nor agree,,neither disagree nor agree,probably yes,34,canada,male,high school,i am not currently studying,0,no,,12 hours
QC,qc,Alberta,strongly agree,neutral,yes,neither comfortable nor uncomfortable,unimportant,that depends ,yes,yes but i cant describe it well,zee,important,probably yes,,probably not,yes ,british english,rarely,yes,definitely yes,probably yes,definitely not,strongly agree,neither disagree nor agree,,neither disagree nor agree,,64,canada,female,other ,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,neutral,no,,important,no,not sure,yes i do know it is ,both,neither unimportant nor important,,probably not,definitely not,yes ,other ,sometimes,yes,yes,probably yes,probably not,disagree,,neither disagree nor agree,neither disagree nor agree,definitely not,34,canada,female,high school,i am not currently studying,0,no,,24 hours
other,,Alberta,strongly agree,probably not,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,definitely yes,definitely yes,definitely not,no,no particular variety,always,yes,definitely yes,definitely yes,definitely yes,strongly agree,strongly agree,neither disagree nor agree,strongly agree,definitely yes,24,canada,female,undergraduate degree,i am not currently studying,4,,,24 hours
AB,ab,Alberta,strongly agree,probably yes,yes,extremely comfortable,extremely important,no,yes,yes but i cant describe it well,zed,very important,probably yes,,probably yes,no,british english,sometimes,yes,yes,definitely yes,might or might not,agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,44,canada,female,undergraduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,agree,probably yes,no,,important,yes,yes,yes but i cant describe it well,both,important,probably yes,probably yes,probably not,yes ,british english,often,yes,yes,definitely yes,definitely yes,agree,agree,agree,disagree,probably yes,39,canada,male,postgraduate degree,i am not currently studying,0,yes ,5,30 minutes to 1 hour
BC,bc,British Columbia,agree,neutral,yes,moderately comfortable,important,yes,not sure,,both,very important,definitely yes,probably yes,definitely not,yes ,british english,rarely,yes,definitely yes,definitely yes,probably yes,agree,disagree,strongly agree,disagree,probably yes,24,canada,female,high school,fourth year+,2,yes ,4,12 hours
other,,Alberta,strongly agree,probably yes,yes,extremely comfortable,important,yes,no,,zed,neither unimportant nor important,might or might not,,probably yes,no,british english,sometimes,,neither yes or no,probably yes,probably not,strongly agree,neither disagree nor agree,neither disagree nor agree,disagree,,39,canada,male,graduate degree,i am not currently studying,0,,,30 minutes to 1 hour
other,,British Columbia,strongly agree,probably yes,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,british english,sometimes,no,neither yes or no,definitely yes,probably yes,agree,neither disagree nor agree,agree,disagree,probably yes,24,canada,female,undergraduate degree,first year,6,yes ,7,24 hours
other,,Alberta,strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,probably yes,probably not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,definitely yes,34,canada,female,undergraduate degree,i am not currently studying,2,yes ,8,12 hours
AB,ab,British Columbia,strongly agree,probably yes,no,,extremely important,yes,yes,yes but i cant describe it well,both,important,probably yes,probably yes,definitely not,yes ,other ,often,yes,neither yes or no,might or might not,definitely yes,strongly agree,agree,strongly agree,strongly agree,probably yes,34,canada,other,other ,i am not currently studying,0,no,,i dont use social media
other,,Alberta,agree,neutral,no,,important,yes,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,definitely not,,british english,often,yes,yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,59,canada,male,graduate degree,,0,no,,30 minutes to 1 hour
ON,on,Alberta,somewhat agree,probably not,no,,important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,probably yes,probably not,,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,neither disagree nor agree,strongly disagree,probably not,44,canada,male,undergraduate degree,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,,probably not,,no particular variety,sometimes,yes,yes,definitely yes,probably not,agree,agree,agree,agree,,39,canada,male,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes
AB,ab,Alberta,somewhat agree,definitely yes,no,,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,agree,definitely yes,54,canada,female,undergraduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,probably yes,yes,moderately comfortable,important,no,no,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably yes,probably not,no,british english,often,yes,yes,probably yes,definitely yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,19,canada,male,high school,i am not currently studying,0,yes ,5,24 hours
AB,ab,Alberta,strongly agree,probably not,no,,,that depends ,no,,zed,neither unimportant nor important,definitely not,probably not,probably not,,no particular variety,sometimes,yes,neither yes or no,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly agree,probably not,39,canada,female,undergraduate degree,i am not currently studying,0,yes ,0,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,neutral,no,,extremely important,,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,probably yes,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,disagree,definitely yes,19,canada,male,high school,second year,0,no,,24 hours
ON,on,Alberta,strongly agree,definitely yes,no,,important,yes,yes,yes but i cant describe it well,zee,important,probably yes,,probably yes,no,canadian english,often,yes,definitely yes,definitely yes,probably yes,strongly agree,agree,agree,neither disagree nor agree,probably yes,34,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
ON,on,Ontario,strongly disagreee,probably yes,yes,extremely comfortable,important,no,not sure,,zee,neither unimportant nor important,probably yes,definitely not,probably not,,british english,often,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,agree,probably yes,39,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
ON,on,Alberta,strongly agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,zed,important,definitely yes,definitely yes,definitely not,,british english,always,yes,definitely yes,definitely yes,definitely yes,strongly agree,agree,agree,neither disagree nor agree,probably yes,24,canada,male,undergraduate degree,i am not currently studying,0,no,,24 hours
other,,Alberta,agree,probably not,no,,important,that depends ,no,,zed,important,probably not,probably yes,definitely not,yes ,other ,sometimes,yes,definitely yes,probably not,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,strongly agree,probably yes,39,canada,male,other ,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,definitely yes,no,,,yes,not sure,yes but i cant describe it well,both,neither unimportant nor important,probably yes,,probably not,no,no particular variety,sometimes,yes,neither yes or no,probably not,probably not,agree,agree,strongly agree,agree,,29,canada,male,high school,i am not currently studying,0,no,,46 hours
other,,British Columbia,strongly disagreee,,yes,neither comfortable nor uncomfortable,important,that depends ,yes,,both,important,probably not,probably yes,definitely not,,british english,sometimes,yes,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,definitely yes,24,canada,male,other ,i am not currently studying,6,yes ,5,more than 8 hours
UK,uk,Ontario,strongly agree,definitely yes,no,,extremely important,yes,no,,zed,very important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,agree,agree,agree,strongly disagree,probably yes,54,canada,male,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,definitely yes,no,,important,no,yes,yes but i cant describe it well,both,very important,probably yes,definitely yes,probably not,no,british english,often,yes,definitely yes,definitely yes,probably yes,agree,agree,strongly agree,strongly agree,definitely yes,29,canada,male,undergraduate degree,i am not currently studying,0,no,,12 hours
BC,bc,Alberta,somewhat agree,definitely not,yes,extremely uncomfortable,extremely unimportant,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,yes ,canadian english,always,yes,definitely yes,definitely yes,probably yes,strongly agree,strongly disagree,strongly disagree,strongly disagree,,59,canada,male,graduate degree,i am not currently studying,1,no,,less than 30 minutes
AB,ab,Alberta,somewhat disagree,definitely not,no,,important,yes,no,yes i do know it is ,both,important,might or might not,definitely yes,definitely not,no,no particular variety,often,yes,yes,definitely not,probably not,strongly agree,strongly disagree,agree,strongly disagree,definitely yes,39,canada,male,undergraduate degree,i am not currently studying,0,yes ,9,30 minutes to 1 hour
other,,other,strongly disagreee,probably yes,yes,moderately comfortable,,that depends ,not sure,,both,important,might or might not,probably yes,definitely not,yes ,no particular variety,rarely,,no,probably yes,probably yes,neither disagree nor agree,disagree,agree,agree,probably yes,24,canada,other,,,0,,,
AB,ab,Alberta,strongly agree,probably yes,no,,important,that depends ,not sure,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,no,british english,rarely,yes,no,definitely yes,probably yes,disagree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,44,canada,female,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes
AB,ab,Alberta,strongly agree,probably yes,yes,moderately comfortable,extremely unimportant,that depends ,no,,zee,unimportant,probably not,probably yes,definitely not,no,no particular variety,often,yes,neither yes or no,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly agree,definitely yes,24,canada,other,high school,i am not currently studying,0,yes ,1,24 hours
other,,Alberta,,probably not,no,,unimportant,no,no,,zed,important,definitely yes,probably not,probably not,no,british english,rarely,yes,no,definitely yes,might or might not,strongly agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably not,34,canada,male,postgraduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,probably not,yes,moderately comfortable,important,yes,no,,zed,important,probably yes,probably not,definitely not,,british english,sometimes,no,neither yes or no,probably yes,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably not,39,canada,female,undergraduate degree,i am not currently studying,6,no,,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,neutral,no,,extremely important,yes,no,,zed,very important,definitely yes,definitely yes,probably not,no,british english,,yes,definitely yes,definitely not,probably not,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,39,canada,male,high school,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,neutral,no,,important,that depends ,no,,zee,very important,might or might not,probably yes,probably not,,british english,sometimes,,no,probably yes,definitely yes,neither disagree nor agree,disagree,neither disagree nor agree,disagree,probably yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,neutral,no,,important,yes,no,,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,often,yes,neither yes or no,definitely yes,probably yes,strongly agree,agree,strongly agree,agree,probably yes,69,canada,female,other ,i am not currently studying,0,no,,less than 30 minutes
AB,ab,Alberta,strongly agree,neutral,yes,extremely comfortable,unimportant,yes,no,,zed,unimportant,definitely yes,probably yes,definitely not,no,other ,rarely,yes,no,probably not,probably not,agree,agree,strongly agree,strongly agree,probably yes,49,canada,male,graduate degree,i am not currently studying,4,no,,24 hours
AB,ab,Alberta,agree,probably not,no,,important,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,rarely,yes,neither yes or no,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,34,canada,male,undergraduate degree,i am not currently studying,0,no,,24 hours
other,,Alberta,strongly agree,probably yes,no,,extremely important,no,not sure,yes but i cant describe it well,zed,very important,definitely yes,definitely not,definitely yes,,british english,sometimes,yes,yes,might or might not,definitely yes,strongly agree,strongly agree,neither disagree nor agree,agree,,24,canada,male,other ,second year,2,yes ,9,12 hours
SK,sk,Alberta,strongly agree,neutral,yes,neither comfortable nor uncomfortable,,yes,no,,both,very important,definitely yes,,,no,no particular variety,often,yes,yes,might or might not,probably yes,agree,disagree,agree,neither disagree nor agree,probably not,79,canada,male,graduate degree,i am not currently studying,0,no,,24 hours
other,,Alberta,strongly agree,neutral,yes,extremely comfortable,extremely important,that depends ,yes,yes i do know it is ,zee,important,definitely yes,definitely yes,definitely not,,british english,always,yes,no,probably yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,definitely yes,29,united states,female,undergraduate degree,i am not currently studying,1,yes ,12,24 hours
AB,ab,Alberta,strongly agree,neutral,no,,important,yes,yes,yes i do know it is ,zed,important,probably yes,probably not,,,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,disagree,strongly agree,neither disagree nor agree,probably yes,34,canada,female,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
ON,on,Alberta,strongly agree,definitely not,no,,extremely important,no,yes,yes but i cant describe it well,both,very important,definitely yes,probably yes,probably yes,no,british english,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,disagree,disagree,probably yes,34,canada,female,graduate degree,i am not currently studying,0,no,,12 hours
SK,sk,Alberta,strongly agree,neutral,yes,moderately uncomfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably not,no,no particular variety,sometimes,yes,definitely yes,definitely yes,might or might not,agree,agree,agree,neither disagree nor agree,probably yes,34,canada,female,postgraduate degree,i am not currently studying,0,no,,12 hours
ON,on,Alberta,strongly agree,definitely yes,yes,moderately uncomfortable,important,,yes,yes but i cant describe it well,zee,very important,definitely yes,probably not,probably not,no,british english,sometimes,,yes,definitely yes,probably yes,agree,agree,agree,,probably yes,49,canada,female,undergraduate degree,i am not currently studying,1,no,,12 hours
AB,ab,Alberta,strongly agree,definitely yes,no,,important,that depends ,yes,yes i do know it is ,zed,important,,probably yes,probably not,,british english,sometimes,yes,yes,definitely yes,definitely yes,strongly agree,disagree,strongly agree,agree,probably yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,probably not,yes,moderately comfortable,extremely important,no,yes,yes but i cant describe it well,zed,very important,definitely yes,,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,male,other ,i am not currently studying,3,no,,24 hours
AB,ab,Alberta,strongly agree,definitely yes,no,,extremely important,that depends ,yes,yes i do know it is ,both,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,strongly agree,neither disagree nor agree,definitely yes,29,canada,male,undergraduate degree,fourth year+,0,yes ,4,24 hours
BC,bc,Alberta,disagree,definitely not,yes,extremely comfortable,unimportant,that depends ,yes,yes i do know it is ,both,neither unimportant nor important,definitely yes,definitely yes,probably yes,yes ,other ,rarely,no,neither yes or no,definitely not,definitely not,neither disagree nor agree,strongly disagree,agree,agree,probably not,29,canada,other,other ,other degree ,2,yes ,3,12 hours
AB,ab,Alberta,strongly agree,probably yes,no,,extremely important,yes,yes,yes but i cant describe it well,zee,very important,probably yes,probably yes,probably not,yes ,canadian english,often,yes,yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,definitely yes,39,canada,female,graduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,neutral,no,,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,probably not,yes ,other ,often,yes,definitely yes,definitely yes,probably yes,agree,neither disagree nor agree,strongly agree,strongly agree,definitely yes,44,canada,female,other ,i am not currently studying,0,no,,30 minutes to 1 hour
NL,nl,Newfoundland and Labrador,strongly agree,probably yes,yes,extremely comfortable,important,no,yes,,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,64,canada,male,postgraduate degree,i am not currently studying,0,no,,less than 30 minutes
NL,nl,Alberta,agree,neutral,yes,neither comfortable nor uncomfortable,important,yes,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably yes,yes ,british english,sometimes,yes,yes,probably yes,probably yes,agree,agree,agree,neither disagree nor agree,probably yes,54,canada,female,graduate degree,i am not currently studying,4,yes ,1,30 minutes to 1 hour
AB,ab,Alberta,agree,neutral,no,,important,,not sure,,zed,important,,probably yes,probably not,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,might or might not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,29,canada,male,other ,i am not currently studying,0,yes ,0,30 minutes to 1 hour
AB,ab,Ontario,agree,neutral,no,,extremely important,no,yes,yes but i cant describe it well,zed,important,definitely yes,probably not,probably not,,british english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,,agree,disagree,probably yes,49,canada,male,high school,i am not currently studying,0,no,,24 hours
other,,Alberta,agree,probably not,no,,important,yes,no,,both,neither unimportant nor important,probably yes,definitely yes,definitely not,,british english,often,,definitely yes,probably yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,59,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
other,,Alberta,strongly disagreee,probably yes,yes,neither comfortable nor uncomfortable,important,yes,no,,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,disagree,probably yes,44,canada,female,graduate degree,i am not currently studying,0,no,,12 hours
